Row,Construction year (max),Living area (max),Lower range,Mean value,Upper range
1,1918,"35,00","7,19","9,87","14,19"
2,1918,"40,00","6,83","9,08","13,08"
3,1918,"45,00","6,15","8,52","12,54"
4,1918,"55,00","6,10","8,02","11,19"
5,1918,"60,00","6,07","8,42","11,00"
6,1918,"90,00","5,29","6,96","10,39"
7,1918,"105,00","4,93","6,33","9,97"
8,1918,"1 000,00","5,34","6,61","9,02"
9,1949,"40,00","6,50","7,96","10,74"
10,1949,"60,00","5,99","7,03","9,35"
11,1949,"90,00","5,55","6,54","8,82"
12,1949,"105,00","4,93","6,33","9,97"
13,1949,"1 000,00","5,34","6,61","9,02"
14,1964,"40,00","6,50","7,96","10,74"
15,1964,"60,00","5,99","7,03","9,35"
16,1964,"1 000,00","5,23","6,20","8,00"
17,1972,"55,00","5,68","6,76","8,58"
18,1972,"60,00","5,37","6,10","7,72"
19,1972,"1 000,00","5,22","5,87","7,18"
20,1985 West,"55,00","5,68","6,76","8,58"
21,1985 West,"60,00","5,37","6,10","7,72"
22,1985 West,"90,00","5,77","6,54","8,51"
23,1985 West,"1 000,00","5,24","7,35","9,08"
24,1990 West,"55,00","6,47","8,19","10,49"
25,1990 West,"60,00","6,48","8,56","11,14"
26,1990 West,"75,00","6,27","7,92","9,59"
27,1990 West,"80,00","6,89","8,13","9,28"
28,1990 West,"95,00","6,67","8,06","9,99"
29,1990 West,"1 000,00","6,59","8,38","9,96"
30,1990 Ost,"40,00","6,66","7,16","8,89"
31,1990 Ost,"60,00","5,74","6,25","7,28"
32,1990 Ost,"70,00","5,07","5,37","6,06"
33,1990 Ost,"1 000,00","5,03","5,44","6,11"
34,2001,"55,00","6,47","8,19","10,49"
35,2001,"60,00","6,48","8,56","11,14"
36,2001,"75,00","6,27","7,92","9,59"
37,2001,"80,00","6,89","8,13","9,28"
38,2001,"95,00","6,67","8,06","9,99"
39,2001,"1 000,00","6,59","8,38","9,96"
40,2009,"55,00","6,47","8,19","10,49"
41,2009,"60,00","6,48","8,56","11,14"
42,2009,"75,00","6,27","7,92","9,59"
43,2009,"80,00","6,89","8,13","9,28"
44,2009,"95,00","6,67","8,06","9,99"
45,2009,"1 000,00","6,59","8,38","9,96"
46,2015,"1 000,00","7,24","9,98","14,48"
47,2022,"60,00","7,62","12,41","16,66"
48,2022,"80,00","9,00","11,12","17,43"
49,2022,"1 000,00","9,99","12,48","16,55"
50,1918,"35,00","7,68","10,12","12,76"
51,1918,"40,00","7,05","8,98","13,75"
52,1918,"45,00","6,81","9,37","12,64"
53,1918,"50,00","6,33","7,48","12,63"
54,1918,"55,00","5,85","7,45","10,26"
55,1918,"80,00","5,79","7,91","11,50"
56,1918,"120,00","5,74","7,57","11,05"
57,1918,"130,00","5,44","7,25","11,09"
58,1918,"1 000,00","5,03","6,98","10,57"
59,1949,"35,00","6,11","7,94","11,49"
60,1949,"40,00","6,25","7,53","9,56"
61,1949,"45,00","6,44","7,40","8,80"
62,1949,"50,00","6,26","7,42","9,28"
63,1949,"65,00","6,02","7,12","9,19"
64,1949,"75,00","5,69","6,65","8,41"
65,1949,"1 000,00","5,79","6,96","10,00"
66,1964,"35,00","6,11","7,94","11,49"
67,1964,"40,00","6,25","7,53","9,56"
68,1964,"45,00","5,88","7,07","9,06"
69,1964,"1 000,00","5,73","6,60","8,86"
70,1972,"35,00","6,57","7,36","14,03"
71,1972,"40,00","6,45","7,21","9,73"
72,1972,"45,00","5,88","7,07","9,06"
73,1972,"1 000,00","5,36","6,13","8,41"
74,1985 West,"35,00","6,57","7,36","14,03"
75,1985 West,"40,00","6,45","7,21","9,73"
76,1985 West,"45,00","5,88","7,07","9,06"
77,1985 West,"75,00","6,32","8,18","10,64"
78,1985 West,"1 000,00","6,44","7,85","10,10"
79,1990 West,"50,00","8,00","9,26","12,34"
80,1990 West,"55,00","7,17","8,87","10,69"
81,1990 West,"60,00","8,00","9,27","11,05"
82,1990 West,"70,00","7,87","9,11","11,46"
83,1990 West,"75,00","6,89","8,57","9,98"
84,1990 West,"85,00","7,52","8,86","10,04"
85,1990 West,"90,00","6,55","8,68","10,43"
86,1990 West,"100,00","6,24","8,99","9,94"
87,1990 West,"1 000,00","7,21","9,12","11,28"
88,1990 Ost,"40,00","6,41","7,13","8,60"
89,1990 Ost,"60,00","5,59","6,09","6,82"
90,1990 Ost,"65,00","4,99","5,37","6,44"
91,1990 Ost,"1 000,00","4,95","5,43","6,35"
92,2001,"50,00","8,00","9,26","12,34"
93,2001,"55,00","7,17","8,87","10,69"
94,2001,"60,00","8,00","9,27","11,05"
95,2001,"70,00","7,87","9,11","11,46"
96,2001,"75,00","6,89","8,57","9,98"
97,2001,"85,00","7,52","8,86","10,04"
98,2001,"90,00","6,55","8,68","10,43"
99,2001,"100,00","6,24","8,99","9,94"
100,2001,"1 000,00","7,21","9,12","11,28"
101,2009,"50,00","8,00","9,26","12,34"
102,2009,"55,00","7,17","8,87","10,69"
103,2009,"60,00","8,00","9,27","11,05"
104,2009,"70,00","7,87","9,11","11,46"
105,2009,"75,00","6,89","8,57","9,98"
106,2009,"85,00","7,52","8,86","10,04"
107,2009,"90,00","6,55","8,68","10,43"
108,2009,"100,00","6,24","8,99","9,94"
109,2009,"1 000,00","7,21","9,12","11,28"
110,2015,"70,00","8,18","10,76","16,75"
111,2015,"95,00","8,92","12,05","16,11"
112,2015,"1 000,00","9,20","12,77","15,19"
113,2022,"55,00","10,22","14,44","21,93"
114,2022,"65,00","10,07","12,97","19,24"
115,2022,"75,00","9,77","12,10","17,75"
116,2022,"90,00","10,06","13,82","18,55"
117,2022,"1 000,00","10,07","14,41","18,04"
118,1918,"35,00","7,39","10,65","15,32"
119,1918,"40,00","6,85","11,09","15,31"
120,1918,"45,00","6,26","9,20","13,46"
121,1918,"65,00","6,52","8,80","12,78"
122,1918,"115,00","6,09","8,45","12,55"
123,1918,"1 000,00","6,14","8,13","11,97"
124,1949,"35,00","7,03","9,45","14,21"
125,1949,"40,00","6,84","8,50","11,45"
126,1949,"65,00","6,47","8,24","11,16"
127,1949,"1 000,00","6,05","7,46","10,36"
128,1964,"35,00","7,03","9,45","14,21"
129,1964,"40,00","6,84","8,50","11,45"
130,1964,"90,00","5,82","7,14","10,13"
131,1964,"1 000,00","6,32","8,99","11,58"
132,1972,"35,00","7,03","9,45","14,21"
133,1972,"40,00","6,84","8,50","11,45"
134,1972,"90,00","5,82","7,14","10,13"
135,1972,"1 000,00","6,32","8,99","11,58"
136,1985 West,"75,00","7,27","9,42","11,98"
137,1985 West,"85,00","7,51","9,25","11,79"
138,1985 West,"105,00","7,94","9,79","13,32"
139,1985 West,"120,00","8,55","10,65","13,41"
140,1985 West,"1 000,00","6,95","10,08","13,02"
141,1990 West,"75,00","8,35","10,15","12,91"
142,1990 West,"85,00","7,51","9,25","11,79"
143,1990 West,"105,00","7,94","9,79","13,32"
144,1990 West,"120,00","8,55","10,65","13,41"
145,1990 West,"1 000,00","6,95","10,08","13,02"
146,1990 Ost,"45,00","6,11","6,97","8,48"
147,1990 Ost,"60,00","5,83","6,46","8,54"
148,1990 Ost,"75,00","5,16","5,68","8,51"
149,1990 Ost,"1 000,00","5,08","5,72","6,47"
150,2001,"75,00","8,35","10,15","12,91"
151,2001,"85,00","7,51","9,25","11,79"
152,2001,"105,00","7,94","9,79","13,32"
153,2001,"120,00","8,55","10,65","13,41"
154,2001,"1 000,00","6,95","10,08","13,02"
155,2009,"105,00","7,97","11,04","15,50"
156,2009,"1 000,00","9,58","12,12","15,34"
157,2015,"85,00","10,24","13,79","17,56"
158,2015,"1 000,00","11,89","14,40","17,34"
159,2022,"50,00","11,41","17,72","24,74"
160,2022,"65,00","10,50","16,80","23,84"
161,2022,"85,00","11,21","15,58","19,93"
162,2022,"100,00","13,69","17,51","20,74"
163,2022,"1 000,00","12,22","16,07","18,47"